"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_names"
"1289.1",1.32048854294858e-43,0.913729925262721,1,1,6.60244271474292e-40,"NMF_2","1289","COL5A1"
"1277.1",4.14331252163322e-43,0.617399174897433,1,1,2.07165626081661e-39,"NMF_2","1277","COL1A1"
"1278.1",4.55616766694189e-43,0.611527323580611,1,1,2.27808383347094e-39,"NMF_2","1278","COL1A2"
"1281.1",2.744842200838e-42,0.778353250494946,1,1,1.372421100419e-38,"NMF_2","1281","COL3A1"
"1462.1",3.6964832206055e-42,0.762883794273898,1,1,1.84824161030275e-38,"NMF_2","1462","VCAN"
"1290.1",9.43350617184361e-42,0.815682324585998,1,1,4.7167530859218e-38,"NMF_2","1290","COL5A2"
"1293.1",9.73197249004978e-42,0.747815120324953,1,1,4.86598624502489e-38,"NMF_2","1293","COL6A3"
"165.1",9.88470906455688e-42,0.757140696044499,1,1,4.94235453227844e-38,"NMF_2","165","AEBP1"
"6678.1",2.58920308082239e-41,0.569037118286457,1,1,1.2946015404112e-37,"NMF_2","6678","SPARC"
"4313.1",4.58883292508055e-41,0.745993309254285,1,1,2.29441646254027e-37,"NMF_2","4313","MMP2"
"8038",5.11252532837418e-41,0.518196249133124,1,1,2.55626266418709e-37,"NMF_2","8038","ADAM12"
"2335.1",7.51671100335268e-41,0.773439049504869,1,1,3.75835550167634e-37,"NMF_2","2335","FN1"
"7058.1",9.32423364961634e-41,0.72275956603916,1,1,4.66211682480817e-37,"NMF_2","7058","THBS2"
"2191",1.57191881258353e-40,0.287100262590904,1,0.996,7.85959406291763e-37,"NMF_2","2191","FAP"
"2200.1",2.23611590335949e-40,0.597091721878444,1,1,1.11805795167975e-36,"NMF_2","2200","FBN1"
"22801",5.02421497369484e-40,0.552330276241656,1,1,2.51210748684742e-36,"NMF_2","22801","ITGA11"
"81792",9.5179953040589e-40,0.387074803097545,1,1,4.75899765202945e-36,"NMF_2","81792","ADAMTS12"
"4017",1.30891053070482e-39,0.379238321529036,1,1,6.54455265352408e-36,"NMF_2","4017","LOXL2"
"1295.1",1.74534761313645e-39,0.655408810059389,1,1,8.72673806568226e-36,"NMF_2","1295","COL8A1"
"83716",3.71346986518628e-39,0.512606817935986,1,1,1.85673493259314e-35,"NMF_2","83716","CRISPLD2"
"9509",5.01814477040601e-39,0.463385332474985,1,1,2.50907238520301e-35,"NMF_2","9509","ADAMTS2"
"4060.1",6.67665235676037e-39,0.89311977179089,1,1,3.33832617838018e-35,"NMF_2","4060","LUM"
"114904",7.99427711838409e-39,0.332491230175108,1,1,3.99713855919205e-35,"NMF_2","114904","C1QTNF6"
"4015",1.87591923974472e-38,0.507011764275436,1,1,9.37959619872358e-35,"NMF_2","4015","LOX"
"1634.1",2.64342873598608e-38,0.714130671551952,1,1,1.32171436799304e-34,"NMF_2","1634","DCN"
"1292.1",3.16055756457523e-38,0.633704022365772,1,1,1.58027878228762e-34,"NMF_2","1292","COL6A2"
"633.1",3.61332760489414e-38,0.57977609422259,1,1,1.80666380244707e-34,"NMF_2","633","BGN"
"5396",5.55837018356416e-38,0.436495207890686,1,1,2.77918509178208e-34,"NMF_2","5396","PRRX1"
"1893",5.89805453713596e-38,0.407088806041084,1,1,2.94902726856798e-34,"NMF_2","1893","ECM1"
